       0   153.152
    5000   154.499
   10000   155.745
   15000   148.913
   20000   153.841
   25000   151.925
   30000   149.100
   35000   149.994
   40000   154.061
   45000   151.222
   50000   152.458
   55000   150.966
   60000   148.458
   65000   151.458
   70000   152.558
   75000   156.035
   80000   154.066
   85000   149.637
   90000   151.762
   95000   155.120
  100000   156.228
  105000   150.111
  110000   147.476
  115000   150.763
  120000   146.650
  125000   150.475
  130000   152.348
  135000   149.948
  140000   148.977
  145000   151.823
  150000   151.970
  155000   151.125
  160000   149.549
  165000   150.920
  170000   151.241
  175000   154.411
  180000   152.564
  185000   148.634
  190000   149.657
  195000   153.590
  200000   153.870
  205000   151.960
  210000   151.076
  215000   149.976
  220000   152.002
  225000   150.849
  230000   147.612
  235000   151.715
  240000   150.549
  245000   154.053
  250000   147.753
  255000   150.790
  260000   154.941
  265000   152.624
  270000   153.506
  275000   151.207
  280000   150.486
  285000   148.972
  290000   152.511
  295000   146.593
  300000   148.365
  305000   152.992
  310000   154.399
  315000   145.016
  320000   150.546
  325000   151.667
  330000   151.758
  335000   152.072
  340000   150.336
  345000   151.100
  350000   149.105
  355000   153.719
  360000   151.123
  365000   150.606
  370000   149.585
  375000   153.844
  380000   145.210
  385000   148.978
  390000   152.663
  395000   151.383
  400000   149.235
  405000   149.061
  410000   153.139
  415000   146.714
  420000   149.557
  425000   148.611
  430000   153.459
  435000   154.253
  440000   153.207
  445000   149.720
  450000   151.077
  455000   150.601
  460000   153.688
  465000   150.582
  470000   153.877
  475000   150.715
  480000   151.649
  485000   149.822
  490000   151.136
  495000   150.057
